,0
wine,14793
aroma,9735
flavor,9141
palat,7949
fruit,7733
ripe,5078
acid,4422
note,4229
nose,4129
tannin,4022
fresh,3689
offer,3284
rich,3209
light,2956
red,2927
textur,2878
cherri,2663
black,2619
show,2545
dri,2428
plum,2140
blackberri,2103
spice,2102
juici,2085
bright,2009
drink,1944
structur,1806
hint,1798
blend,1775
concentr,1645
fruiti,1632
balanc,1631
give,1614
berri,1579
soft,1458
fullbodi,1431
finish,1381
white,1370
crisp,1365
raspberri,1364
citrus,1364
black_cherri,1331
pear,1305
touch,1232
appl,1189
savori,1183
dark,1175
nose_bottl,1172
full,1142
lemon,1141
vanilla,1097
open,1090
lead,1082
peach,1037
dens,1016
well,995
come,965
oak,960
strawberri,918
veri,911
smooth,898
age,888
readi_drink,881
perfum,858
make,855
violet,846
spici,835
follow,829
herb,820
fine,813
licoric,811
generous,794
intens,794
miner,792
sweet,792
round,786
good,776
layer,758
vineyard,752
tart,733
tangi,712
complex,710
earthi,691
also,680
along,679
subtl,676
creami,676
charact,673
floral,669
firm,663
eleg,648
bottl,645
live,643
power,638
syrah,634
cedar,612
vibrant,609
grape,608
mediumbodi,608
accent,605
edg,602
glass,593
made,587
matur,572
bring,571
meet,565
attract,565
feel,560
pepper,556
lime,555
core,553
flower,546
leather,546
tobacco,546
alongsid,538
smoki,530
nice,526
cranberri,522
plenti,515
slight,512
still,510
produc,509
apricot,508
clove,504
blueberri,500
mix,498
tight,495
candi,491
lift,488
bake_spice,487
deliv,486
combin,468
add,466
full_bodi,463
style,461
black_currant,461
bold,460
delici,459
solid,457
chardonnay,452
herbal,451
back,450
color,447
melon,446
aromat,445
gentl,443
delic,442
express,441
great,439
honey,437
frame,436
star_anis,436
like,435
chocol,433
grapefruit,429
yet,426
bake,425
cassi,423
wood,420
refresh,414
tone,412
young,409
pineappl,408
smoke,406
bit,403
dark_chocol,398
pack,396
mouthfeel,395
cabernet_sauvignon,395
warm,393
merlot,393
zesti,387
love,386
domin,384
impress,381
focus,381
black_pepper,379
green_appl,378
clean,375
toast,367
start,366
white_pepper,366
sip,366
red_berri,365
malbec,359
green,356
suggest,355
drink_2024,354
support,354
quit,349
wood_age,345
cinnamon,345
almost,342
deep,340
white_peach,340
viognier,339
beauti,337
roast,337
mocha,337
firm_tannin,335
polish,334
soften,330
pinot_noir,330
tropic,326
caramel,324
carri,323
dri_herb,322
bouquet,320
camphor,320
scent,319
whiff,318
riesl,317
mint,316
pomegran,308
estat,306
tast,297
befor,296
rather,295
strong,295
orang,294
rosã©,293
boysenberri,293
pleasant,289
honeysuckl,288
thyme,286
vivid,284
featur,283
element,282
set,281
join,278
toast_oak,278
one,276
sage,274
wellbalanc,273
grass,273
rose_petal,273
fill,272
drink_2023,272
big,271
forest_floor,271
crush,270
lavend,270
palat_featur,268
plush,262
vintag,262
linear,261
orang_zest,260
tannic,258
easi,256
weight,254
includ,254
cabernet_franc,253
enjoy,252
yellow_appl,251
aftertast,250
new_leather,249
silki,248
invit,246
highlight,246
mourvã¨dr,246
thick,245
earth,244
present,243
brisk,243
grenach,242
simpl,240
smooth_textur,238
coffe,238
mild,238
toasti,237
yeast,237
sauvignon_blanc,237
cut,236
plump,235
end,233
mingl,232
grip,232
load,230
jammi,230
recal,229
underbrush,229
drink_2025,228
lot,228
take,227
darkskin,227
still_young,225
pepperi,225
broad,224
wrap,224
region,222
depth,222
blackcherri,222
rose,222
varieti,222
promis,220
appeal,220
time,220
peppercorn,220
fleshi,219
lemon_zest,219
dark_plum,218
eucalyptus,218
first,218
prune,218
espresso,217
nectarin,216
valley,216
pure,212
potenti,211
moder,211
classic,210
salti,210
finegrain_tannin,210
fragrant,209
densiti,208
french_oak,208
yellow,207
organ,206
yeasti,206
barrel,204
stone_fruit,204
mouth,203
graphit,203
oaki,202
provid,201
readi,200
littl,200
seem,200
dusti,199
tangerin,199
blackberri_jam,199
name,198
taut,198
lush,198
